Title,Author,Abstract,Title_URL,Year,Publish,IF,Quote
Sequencing the mosaic genome of Brahman?cattle?identifies historic and recent introgression including?polled.,"Koufariotis L, Hayes BJ, Kelly M, Burns BM, Lyons R, Stothard P, Chamberlain AJ, Moore S.","Brahman cattle have a Bos indicus and Bos taurus mosaic genome, as a result of the process used to create the breed (repeat backcrossing of Bos taurus females to Bos indicus bulls). With the aim of identifying Bos taurus segments in the Brahman genome at sequence level resolution, we sequenced the genomes of 46 influential Brahman bulls. Using 36 million variants identified in the sequences, we searched for regions close to fixation for Bos indicus or Bos taurus segments that were longer than expected by chance (from simulation of the breed formation history of Brahman?cattle). Regions close to fixation for Bos indicus content were enriched for protein synthesis genes, while regions of higher Bos taurus content included genes of the G-protein coupled receptor family (including genes implicated in puberty, such as THRS). The region with the most extreme Bos taurus enrichment was on chromosome 14 surrounding PLAG1. The introgressed Bos taurus allele at PLAG1 increases stature and the high frequency of the allele likely reflects strong selection for the trait. Finally, we provide evidence that the?polled?mutation in Brahmans, a desirable trait under very strong recent selection, is of Celtic origin and is introgressed from Bos taurus.",https://www.ncbi.nlm.nih.gov/pubmed/30531891,2018,Sci Rep,4.122,0
Evaluation of 17 microsatellite markers for parentage testing and individual identification of domestic yak (Bos grunniens).,"Pei J, Bao P, Chu M, Liang C, Ding X, Wang H, Wu X, Guo X, Yan P.","BACKGROUND:Yak (Bos grunniens) is the most important domestic animal for people living at high altitudes. Yak ordinarily feed by grazing, and this behavior impacts the accuracy of the pedigree record because it is difficult to control mating in grazing yak. This study aimed to evaluate the pedigree system and individual identification in polled yak.METHODS:A total of 71 microsatellite loci were selected from the literature, mostly from the studies on cattle. A total of 35 microsatellite loci generated excellent PCR results and were evaluated for the parentage testing and individual identification of 236 unrelated polled yaks. A total of 17 of these 35 microsatellite loci had polymorphic information content (PIC) values greater than 0.5, and these loci were in Hardy-Weinberg equilibrium without linkage disequilibrium.RESULTS:Using multiplex PCR, capillary electrophoresis, and genotyping, very high exclusion probabilities were obtained for the combined core set of 17 loci. The exclusion probability (PE) for one candidate parent when the genotype of the other parent is not known was 0.99718116. PE for one candidate parent when the genotype of the other parent is known was 0.99997381. PE for a known candidate parent pair was 0.99999998. The combined PEI (PE for identity of two unrelated individuals) and PESI (PE for identity of two siblings) were >0.99999999 and 0.99999899, respectively. These findings indicated that the combination of 17 microsatellite markers could be useful for efficient and reliable parentage testing and individual identification in polled yak.DISCUSSION:Many microsatellite loci have been investigated for cattle paternity testing. Nevertheless, these loci cannot be directly applied to yak identification because the two bovid species have different genomic sequences and organization. A total of 17 loci were selected from 71 microsatellite loci based on efficient amplification, unambiguous genotyping, and high PIC values for polled yaks, and were suitable for parentage analysis in polled yak populations.",https://www.ncbi.nlm.nih.gov/pubmed/30473935,2018,PeerJ,2.118,0
Genome-wide association study provides insights into genes related with horn development in Nelore beef cattle.,"Stafuzza NB, Silva RMO, Peripolli E, Bezerra LAF, L么bo RB, Magnabosco CU, Di Croce FA, Osterstock JB, Munari DP, Lourenco DAL, Baldi F.","The causal mutation for polledness in Nelore (Bos taurus indicus) breed seems to have appeared first in Brazil in 1957. The expression of the polled trait is known to be ruled by a few groups of alleles in taurine breeds; however, the genetic basis of this trait in indicine cattle is still unclear. The aim of this study was to identify genomic regions associated with the hornless trait in a commercial Nelore population. A total of 107,294 animals had phenotypes recorded and 2,238 were genotyped/imputed for 777k SNP. The weighted single-step approach for genome-wide association study (WssGWAS) was used to estimate the SNP effects and variances accounted for by 1 Mb sliding SNP windows. A centromeric region of chromosome 1 with 3.11 Mb size (BTA1: 878,631-3,987,104 bp) was found to be associated with hornless in the studied population. A total of 28 protein-coding genes are mapped in this region, including the taurine Polled locus and the IFNAR1, IFNAR2, IFNGR2, KRTAP11-1, MIS18A, OLIG1, OLIG2, and SOD1 genes, which expression can be related to the horn formation as described in literature. The functional enrichment analysis by DAVID tool revealed cytokine-cytokine receptor interaction, JAK-STAT signaling, natural killer cell mediated cytotoxicity, and osteoclast differentiation pathways as significant (P < 0.05). In addition, a runs of homozygosity (ROH) analysis identified a ROH island in polled animals with 2.47 Mb inside the region identified by WssGWAS. Polledness in Nelore cattle is associated with one region in the genome with 3.1 Mb size in chromosome 1. Several genes are harbored in this region, and they may act together in the determination of the polled/horned phenotype. Fine mapping the locus responsible for polled trait in Nelore breed and the identification of the molecular mechanisms regulating the horn growth deserve further investigation.",https://www.ncbi.nlm.nih.gov/pubmed/30161212,2018,PLoS One,2.766,0
The Japanese Wagyu beef industry: current situation and future prospects - A review.,"Gotoh T, Nishimura T, Kuchida K, Mannen H.","In Japan, Wagyu cattle include four Japanese breeds; Black, Brown, Shorthorn, and Polled. Today, the renowned brand name Wagyu includes not only cattle produced in Japan, but also cattle produced in countries such as Australia and the United States. In recent years, the intramuscular fat percentage in beef (longissimus muscle) from Japanese Black cattle has increased to be greater than 30%. The Japanese Black breed is genetically predisposed to producing carcass lipids containing higher concentrations of monounsaturated fatty acids than other breeds. However, there are numerous problems with the management of this breed including high production costs, disposal of untreated excrement, the requirement for imported feed, and food security risks resulting from various viral diseases introduced by imported feed. The feeding system needs to shift to one that is more efficient, and improves management for farmers, food security for consumers, and the health environment for residents of Japan. Currently, we are developing a metabolic programming and an information and communications technology (ICT, or Interne of Things) management system for Wagyu beef production as future systems. If successful, we will produce safe, high-quality Wagyu beef using domestic pasture resources while solving the problems of how to utilize increasing areas of abandoned agricultural land and to make use of the plant-based feed resources in Japan's mountainous areas.",https://www.ncbi.nlm.nih.gov/pubmed/29973029,2018,Asian-Australas J Anim Sci,Not Found,1
Simultaneous introgression of three POLLED mutations into a synthetic breed of Chinese cattle.,"Chen SY, Liu L, Fu M, Zhang GW, Yi J, Lai SJ, Wang W.","The polled phenotype of cattle is increasingly becoming favourable mainly because of the enhanced emphasis on animal welfare, for which the causative mutations have been reported during the past years. The Shuxuan cattle are a new synthetic breed by crossing the indigenous cattle with both Simmental and Holstein semen in Sichuan of Southwest China, in which about 15% of polled individuals have newly emerged. Because official record about POLLED genotypes for the historically imported sires is unavailable, we therefore genotyped the proposed POLLED variants of P202ID, P80kbID and P219ID among 48 polled and 16 horned Shuxuan cattle. It was first revealed that all three candidate mutations have been simultaneously introgressed into Shuxuan cattle, whereas the P202ID mutation is dominant. Furthermore, one polled animal still remains to carry none of the three candidate mutations, which suggests that further mutation(s) would also exist. Additionally, we sequenced mitochondrial DNA and found that Shuxuan cattle are composed of two matrilineal origins of Bos taurus (65.6%) and B. indicus (34.4%); and there is no origin-biased distribution of polled phenotype. In conclusion, our study first supports the recently reported novel candidate mutation of P219ID and detects simultaneous presences of all three known POLLED mutations within a cattle breed.",https://www.ncbi.nlm.nih.gov/pubmed/29053739,2017,PLoS One,2.766,1
Germline mutation within COL2A1 associated with lethal chondrodysplasia in a polled Holstein family.,"Reinartz S, Mohwinkel H, Sürie C, Hellige M, Feige K, Eikelberg D, Beineke A, Metzger J, Distl O.",The bulldog calf syndrome is a lethal form of the inherited congenital chondrodysplasias. Among the progeny of the polled Holstein bull Energy P cases of lethal chondrodysplasia were observed. Pedigrees of the cases and the frequency of 3/8 cases among the offspring of Energy P at our teaching and experimental farm Ruthe (LuFG Ruthe) supported the assumption of a germline mutation with a mosaic of normal and defective sperm.,https://www.ncbi.nlm.nih.gov/pubmed/29017490,2017,BMC Genomics,3.73,2
Comparison of milk protein composition and rennet coagulation properties in native Swedish dairy cow breeds and high-yielding Swedish Red cows.,"Poulsen NA, Glantz M, Rosengaard AK, Paulsson M, Larsen LB.","Recent studies have reported a very high frequency of noncoagulating milk in Swedish Red cows. The underlying factors are not fully understood. In this study, we explored rennet-induced coagulation properties and relative protein profiles in milk from native Swedish Mountain and Swedish Red Polled cows and compared them with a subset of noncoagulating (NC) and well-coagulating (WC) milk samples from modern Swedish Red cows. The native breeds displayed a very low prevalence of NC milk and superior milk coagulation properties compared with Swedish Red cows. The predominant variants in both native breeds were 伪S1-casein (伪S1-CN) B, 尾-CN A2 and 尾-lactoglobulin (尾-LG) B. For 魏-CN, the B variant was predominant in the Swedish Mountain cows, whereas the A variant was the most frequent in the Swedish Red Polled. The native breeds displayed similar protein composition, but varied in content of 伪S1-CN with 9 phosphorylated serines (9P) form. Within the Swedish Mountain cows, we observed a strong inverse correlation between the relative concentration of 魏-CN and micelle size and a positive correlation between ionic calcium and gel firmness. For comparison, we investigated a subset of 29 NC and 28 WC milk samples, representing the extremes with regard to coagulation properties based on an initial screening of 395 Swedish Red cows. In Swedish Red, NC milk properties were found to be related to higher frequencies of 尾-CN A2, 魏-CN E and A variants, as well as 尾-LG B, and the predominant composite genotype of 尾- and 魏-CN in the NC group was A2A2/AA. Generally, the A2A2/AA composite genotype was related to lower relative concentrations of 魏-CN isoforms and higher relative concentrations of 伪S1-, 伪S2-, and 尾-CN. Compared with the group of WC milk samples, NC milk contained a higher fraction of 伪S2-CN and 伪-lactalbumin (伪-LA) but a lower fraction of 伪S1-CN 9P. In conclusion, milk from native Swedish breeds has good characteristics for cheese milk, which could be exploited in niche dairy products. In milk from Swedish Mountain cows, levels of ionic calcium seemed to be more important for rennet-induced gel firmness than variation in the relative protein profile. In Swedish Red, lower protein content as well as higher fraction of 伪S2-CN and lower fraction of 伪S1-CN 9P were related to NC milk. Further, a decrease in the frequency of the composite 尾-魏-CN genotype A2A2/AA through selective breeding could have a positive effect on milk coagulation properties.",https://www.ncbi.nlm.nih.gov/pubmed/28918139,2017,J Dairy Sci,2.749,0
Ichthyosis fetalis in Polled Hereford and Shorthorn calves.,"O'Rourke BA, Kelly J, Spiers ZB, Shearer PL, Porter NS, Parma P, Longeri M.","Inherited forms of ichthyosis, or generalized scaling of the skin, have been reported in many animal species, including cattle, and are characterized by an autosomal recessive mode of inheritance. We investigated 2 calves affected with ichthyosis fetalis, a Polled Hereford and a Shorthorn. Both cases had hard white plaques on the skin consistent with excessive keratinization. This was confirmed by histopathology, which showed severe diffuse epidermal and follicular orthokeratotic hyperkeratosis. The known mutation (H1935R) in gene ABCA12, responsible for ichthyosis fetalis in Chianina cattle, was shown to be absent in both affected calves and their obligate heterozygous parents. These molecular findings indicate that allelic heterogeneity exists for this condition in cattle.",https://www.ncbi.nlm.nih.gov/pubmed/28782451,2017,J Vet Diagn Invest,1.219,0
Genomewide association mapping and pathway analysis of meat tenderness in Polled Nellore cattle.,"Castro LM, Rosa GJM, Lopes FB, Regitano LCA, Rosa AJM, Magnabosco CU.","Brazil is one of the world's largest beef exporters, although the product has a low price due to quality issues. The meat exported by Brazil is considered medium and low quality by international buyers, mainly due to lack of tenderness. The predominant Zebu breeds (80% Nellore) are known for producing tougher beef than taurine breeds. Nonetheless, some studies have shown that there is substantial genetic variability for tenderness within the Nellore breed, although it is a difficult trait to improve by conventional selection methods. Therefore, the aim of this study was to perform a genomewide association study (GWAS) and a gene set enrichment analysis to identify genomic regions and biologically relevant pathways associated with meat tenderness in Polled Nellore cattle. Data consisted of Warner-Bratzler shear force values of LM from 427 Polled Nellore animals divided into 3 experimental slaughters (years 2005, 2008, and 2010). The animals were genotyped with either the Illumina BovineHD BeadChip (777k, on 61 samples) or the GGP Indicus HD chip (77k, on 366 samples). Single nucleotide polymorphisms were excluded when the call rate was <90%, the Hardy-Weinberg proportions -value was <1% (Fisher exact test, Bonferroni adjusted), and the minor allele frequency was <1%. Imputation from the GGP Indicus HD chip to the Illumina BovineHD BeadChip was performed using the FImput program. Genomewide association analysis was performed using the Efficient Mixed Model Association eXpedited (EMMAx) and the population parameters previously determined (P3D) methods. The GWAS was complemented with a gene set enrichment analysis performed using the FatiGO procedure. Significant markers ( < 0.0001) explaining a larger proportion of variation than other significant SNPs were located on chromosomes 3, 13, 17, 20, 21, and 25, indicating QTL associated with meat tenderness throughout the genome. Additionally, gene set analysis identified 22 Gene Ontology functional terms and 2 InterPro entries that showed significant enrichment of genes associated with tenderness. The functional categories included protein tyrosine and serine/threonine kinase activity, calcium ion binding, lipid metabolic process, and growth factors, among others. These results help to elucidate the genetic architecture and metabolic pathways underlying this trait, which is of extreme economic and social importance to Brazil, because Nellore is the dominant beef cattle breed in the country.",https://www.ncbi.nlm.nih.gov/pubmed/28727016,2017,J Anim Sci,1.711,1
Economic considerations of breeding for polled dairy cows versus dehorning in the United States.,"Thompson NM, Widmar NO, Schutz MM, Cole JB, Wolf CA.","This paper examines the costs and benefits of selecting for polled dairy heifers versus traditional dehorning practices. Stochastic budgets were developed to analyze the expected costs (EC) associated with polled dairy genetics. The economic assessment was expanded beyond on-farm cash costs by incorporating cost and benefit estimates to generate industry-wide discussion, and preliminary economic evaluations, surrounding the public acceptance and attitude toward polled genetics versus dehorning calves. Triangular distributions, commonly used to represent distributions with limited data, were used to represent labor costs for dehorning, the likelihood of treatment of calf, and the cost of veterinary treatment. In total, 10,000 iterations were run using @Risk v 6.0 (Palisade Corp., Newfield, NY). The EC of the 4 traditional dehorning methods evaluated in this study ranged from $6 to $25/head, with a mean EC around $12 to $13/head. The EC of incorporating polled genetics into a breeding program ranged from $0 to $26/head depending on the additional cost, or premium, associated with polled relative to horned genetics. Estimated breakeven premiums associated with polled genetics indicate that, on average, producers could spend up to $5.95/head and $11.90/head more for heterozygous and homozygous polled genetics, respectively, compared with conventional horned genetics (or $2.08 and $4.17/straw of semen at an assumed average conception rate of 35%). Given the parameters outlined, sensitivity to individual farm semen and dehorning costs are likely to swamp these differences. Beyond on-farm costs, industry-wide discussion may be warranted surrounding the public's acceptance and attitude toward polled genetics versus dehorning or disbudding of calves. The value of avoiding dehorning may be larger for the industry, and perhaps some individual farms, than initially suggested if additional value is put on calf comfort and possible worker aversion to dehorning. If public perception of dehorning influences market access, the EC of dehorning may be large but that cost is unknown at present.",https://www.ncbi.nlm.nih.gov/pubmed/28342604,2017,J Dairy Sci,2.749,7
